Test ID,easting__N,northing__,GWD (m),L (m),Slope (%),Elevation,Target,CM pred
5657,1574900.634,5184624.331,1.777225256,1457.951679,2.064116716,2.84791708,0,TN
37328,1574903.74,5184605.11,1.679185629,1432.342763,0.414481968,2.602287292,0,TN
35009,1574903.982,5183999.753,2.327378511,616.8538618,0.436889619,3.548520088,0,TN
30453,1574904.789,5183783.523,2.719977379,338.0215807,2.929614067,3.251803398,1,TP
37760,1574905.169,5184418.674,2.847190857,1178.842425,4.500645161,4.151391029,0,TN
49781,1574908,5183623,2.933139563,150.9413358,0.737199426,3.310227156,1,FN
51016,1574908.15,5184248.208,3.111053467,949.5308378,1.285545349,4.243327141,0,TN
44065,1574909.61,5183899.82,2.553871155,487.4989515,0.493182003,3.522885084,0,TN
51761,1574910.11,5184236.42,2.989935637,934.3761293,0.951126039,4.190164566,0,TN
5585,1574912.208,5183725.924,2.313826084,273.4251866,1.043107271,2.828566551,1,TP
51734,1574912.81,5183853.92,2.687405825,430.2944011,0.529402673,3.523319483,0,TN
30066,1574912.831,5183881.618,2.561612129,465.6075102,0.360299408,3.487872839,0,TN
15986,1574912.929,5184148.718,2.254830837,818.5172011,0.52520442,3.629831314,0,TN
30452,1574915.833,5183792.004,2.708147526,355.6442102,1.336343527,3.28621459,1,FN
4989,1574917.649,5184022.487,2.480471373,652.1615091,0.649523735,3.842589617,0,TN
44066,1574917.877,5183894.52,2.482538462,484.7396499,0.360299408,3.510646343,0,TN
40440,1574919.14,5184575.209,1.556332827,1395.04305,1.751792192,2.784681559,0,TN
26400,1574919.678,5184105.318,2.319107533,763.5024132,0.31540817,3.659641504,0,TN
25646,1574922.36,5184531.79,1.635047674,1336.804986,1.120306849,2.844647408,0,TN
5114,1574922.595,5183662.909,2.596913338,209.5388989,0.356466681,3.13755846,1,FN
51015,1574923.078,5184234.382,2.65353632,936.1893059,1.785500407,4.038732529,0,TN
34291,1574923.2,5184162.9,2.3279953,841.3165095,0.463963747,3.600766659,0,TN
51748,1574923.89,5183812.18,2.708147526,385.3994595,0.624133945,3.513917446,0,TN
51017,1574926.447,5184241.502,2.859550953,946.9038234,1.449237823,4.041401386,0,TN
51760,1574926.83,5184222.72,2.65353632,922.0522327,2.079554558,3.931210041,0,TN
